timestamp,strain_gauge_4,strain_gauge_5,strain_gauge_6,chunk_id,bit_shift_detected,corrected_timestamp,rate_ratio
44090615,1995,823,1763,0,0,44090615,0.9990796134376438
44102775,2035,836,1553,0,0,44102775,0.9990796134376438
44112183,1998,821,1557,0,0,44112183,0.9990796134376438
44122128,2008,847,1765,0,0,44122128,0.9990796134376438
44134583,1987,861,1536,0,0,44134583,0.9990796134376438
44144247,1983,837,1747,0,0,44144247,0.9990796134376438
44155312,1949,868,1558,0,0,44155312,0.9990796134376438
44167245,1972,893,1569,0,0,44167245,0.9990796134376438
44177140,1963,905,1571,0,0,44177140,0.9990796134376438
44187961,1965,914,1538,0,0,44187961,0.9990796134376438
44197962,1934,939,1568,0,0,44197962,0.9990796134376438
44210151,1930,947,1782,0,0,44210151,0.9990796134376438
44220276,1908,958,1567,0,0,44220276,0.9990796134376438
44229983,1880,980,1585,0,0,44229983,0.9990796134376438
44240406,1885,978,1564,0,0,44240406,0.9990796134376438
44257462,1897,989,1575,0,0,44257462,0.9990796134376438
44268179,1896,1001,1625,0,0,44268179,0.9990796134376438
44278773,1907,971,1579,0,0,44278773,0.9990796134376438
44290267,1909,958,1586,0,0,44290267,0.9990796134376438
44299828,1938,941,1772,0,0,44299828,0.9990796134376438
44309634,1939,932,1564,0,0,44309634,0.9990796134376438
44321853,1948,930,1583,0,0,44321853,0.9990796134376438
44331455,1950,929,1609,0,0,44331455,0.9990796134376438
44342323,1945,933,1746,0,0,44342323,0.9990796134376438
44352890,1955,929,1548,0,0,44352890,0.9990796134376438
44363925,1946,936,1539,0,0,44363925,0.9990796134376438
44378773,1967,900,1581,0,0,44378773,0.9990796134376438
44389807,1955,904,1572,0,0,44389807,0.9990796134376438
44400753,1977,917,1570,0,0,44400753,0.9990796134376438
44412892,1938,920,1776,0,0,44412892,0.9990796134376438
44424696,1924,938,1560,0,0,44424696,0.9990796134376438
44434436,1926,955,1544,0,0,44434436,0.9990796134376438
44444716,1950,966,1596,0,0,44444716,0.9990796134376438
44453935,1925,958,1596,0,0,44453935,0.9990796134376438
44464760,1913,968,1606,0,0,44464760,0.9990796134376438
44475398,1911,984,1584,0,0,44475398,0.9990796134376438
44484415,1901,975,1576,0,0,44484415,0.9990796134376438
44495850,1895,995,1747,0,0,44495850,0.9990796134376438
44508232,1925,978,1545,0,0,44508232,0.9990796134376438
44518499,1917,971,1791,0,0,44518499,0.9990796134376438
44528456,1937,965,1584,0,0,44528456,0.9990796134376438
44540865,1932,945,1577,0,0,44540865,0.9990796134376438
44550351,1945,952,1604,0,0,44550351,0.9990796134376438
44561206,1945,948,1660,0,0,44561206,0.9990796134376438
44572368,1942,940,1536,0,0,44572368,0.9990796134376438
44584860,1948,948,1547,0,0,44584860,0.9990796134376438
44595972,1942,943,1573,0,0,44595972,0.9990796134376438
44606261,1945,924,1791,0,0,44606261,0.9990796134376438
