timestamp,strain_gauge_7,strain_gauge_8,strain_gauge_9,chunk_id,bit_shift_detected,corrected_timestamp,rate_ratio
44093966,1328,1017,977,0,0,44093966,0.9995405256386694
44105598,1339,1028,971,0,0,44105598,0.9995405256386694
44115034,1316,1017,965,0,0,44115034,0.9995405256386694
44125142,1301,1021,977,0,0,44125142,0.9995405256386694
44137479,1298,1038,966,0,0,44137479,0.9995405256386694
44147275,1340,1017,966,0,0,44147275,0.9995405256386694
44158456,1315,1018,972,0,0,44158456,0.9995405256386694
44170356,1326,1013,971,0,0,44170356,0.9995405256386694
44180145,1330,1032,968,0,0,44180145,0.9995405256386694
44191090,1312,1030,969,0,0,44191090,0.9995405256386694
44201105,1321,1031,978,0,0,44201105,0.9995405256386694
44213389,1328,1024,974,0,0,44213389,0.9995405256386694
44223248,1330,1022,961,0,0,44223248,0.9995405256386694
44233005,1336,1046,977,0,0,44233005,0.9995405256386694
44243702,1328,1021,977,0,0,44243702,0.9995405256386694
44260481,1315,1042,982,0,0,44260481,0.9995405256386694
44271317,1331,1032,972,0,0,44271317,0.9995405256386694
44281764,1291,1038,977,0,0,44281764,0.9995405256386694
44293378,1338,1016,971,0,0,44293378,0.9995405256386694
44302798,1317,1039,971,0,0,44302798,0.9995405256386694
44312700,1329,1030,969,0,0,44312700,0.9995405256386694
44324958,1317,1030,968,0,0,44324958,0.9995405256386694
44334404,1318,1033,971,0,0,44334404,0.9995405256386694
44345439,1309,1033,970,0,0,44345439,0.9995405256386694
44356034,1313,1025,973,0,0,44356034,0.9995405256386694
44367080,1310,1029,977,0,0,44367080,0.9995405256386694
44381863,1338,1040,969,0,0,44381863,0.9995405256386694
44392927,1326,1044,971,0,0,44392927,0.9995405256386694
44403739,1306,1034,968,0,0,44403739,0.9995405256386694
44415868,1307,1051,966,0,0,44415868,0.9995405256386694
44427603,1313,1043,966,0,0,44427603,0.9995405256386694
44437331,1316,1069,968,0,0,44437331,0.9995405256386694
44447733,1325,1036,980,0,0,44447733,0.9995405256386694
44457060,1309,1042,970,0,0,44457060,0.9995405256386694
44467898,1323,1033,976,0,0,44467898,0.9995405256386694
44478509,1323,1025,977,0,0,44478509,0.9995405256386694
44487347,1318,1037,974,0,0,44487347,0.9995405256386694
44498891,1307,1028,962,0,0,44498891,0.9995405256386694
44511223,1313,1022,976,0,0,44511223,0.9995405256386694
44521419,1310,1062,970,0,0,44521419,0.9995405256386694
44531497,1347,1040,977,0,0,44531497,0.9995405256386694
44543762,1331,1040,977,0,0,44543762,0.9995405256386694
44553367,1326,1021,978,0,0,44553367,0.9995405256386694
44564361,1324,1010,966,0,0,44564361,0.9995405256386694
44575411,1322,1058,971,0,0,44575411,0.9995405256386694
44587842,1323,1038,975,0,0,44587842,0.9995405256386694
44598896,1327,1046,978,0,0,44598896,0.9995405256386694
44609201,1307,1037,970,0,0,44609201,0.9995405256386694
44619498,1323,1026,974,0,0,44619498,0.9995405256386694
44628543,1331,1022,982,0,0,44628543,0.9995405256386694
44638600,1305,1009,977,0,0,44638600,0.9995405256386694
44648822,1327,1030,980,0,0,44648822,0.9995405256386694
44660113,1314,1035,981,0,0,44660113,0.9995405256386694
44669486,1299,1030,961,0,0,44669486,0.9995405256386694
44680522,1320,1022,980,0,0,44680522,0.9995405256386694
44690884,1312,1014,977,0,0,44690884,0.9995405256386694
44704959,1349,1017,969,0,0,44704959,0.9995405256386694
44715286,1299,1036,969,0,0,44715286,0.9995405256386694
44728353,1345,1026,969,0,0,44728353,0.9995405256386694
44738843,1345,1031,974,0,0,44738843,0.9995405256386694
44748735,1364,1027,973,0,0,44748735,0.9995405256386694
44760752,1368,1027,983,0,0,44760752,0.9995405256386694
